jugador,season,Posicion,total_intentos,partidos_jugados,intentos_aro,intentos_cerca,intentos_media_distancia,intentos_triple,intentos_tiro_libre,acierto_aro,acierto_cerca,acierto_media_distancia,acierto_triple,acierto_tiro_libre,proporcion_aro,proporcion_cerca,proporcion_media_distancia,proporcion_triple,proporcion_tiro_libre,porcentaje_acierto_global,altura,edad,peso
MarJon Beauchamp,2023,G,283,48,50,24,43,129,37,0.64,0.3333333333333333,0.3488372093023256,0.3333333333333333,0.7297297297297297,0.17667844522968199,0.08480565371024736,0.1519434628975265,0.4558303886925795,0.13074204946996468,0.4416961130742049,2.01,22,199
MarJon Beauchamp,2024,G,200,44,39,28,39,64,30,0.6153846153846154,0.5,0.48717948717948717,0.390625,0.6666666666666666,0.195,0.14,0.195,0.32,0.15,0.51,2.01,23,199
MarShon Brooks,2013,G-F,430,70,93,99,89,55,94,0.7204301075268817,0.45454545454545453,0.3146067415730337,0.2545454545454545,0.7340425531914894,0.21627906976744185,0.2302325581395349,0.2069767441860465,0.12790697674418605,0.2186046511627907,0.5186046511627908,1.96,24,200
MarShon Brooks,2014,G-F,169,31,33,36,32,24,44,0.6363636363636364,0.4722222222222222,0.1875,0.5416666666666666,0.7272727272727273,0.1952662721893491,0.21301775147928995,0.1893491124260355,0.14201183431952663,0.2603550295857988,0.5266272189349113,1.96,25,200
MarShon Brooks,2018,G-F,125,7,20,23,34,25,23,0.5,0.5652173913043478,0.38235294117647056,0.6,0.8695652173913043,0.16,0.184,0.272,0.2,0.184,0.568,1.96,29,200
MarShon Brooks,2019,G-F,202,28,36,30,58,45,33,0.75,0.4666666666666667,0.3793103448275862,0.28888888888888886,0.696969696969697,0.1782178217821782,0.1485148514851485,0.2871287128712871,0.22277227722772278,0.16336633663366337,0.4900990099009901,1.96,30,200
Marc Gasol,2010,C,1027,69,333,205,112,1,376,0.7087087087087087,0.48292682926829267,0.38392857142857145,0,0.6702127659574468,0.32424537487828625,0.19961051606621227,0.10905550146056475,9.737098344693282e-4,0.3661148977604674,0.6134371957156767,2.11,25,255
Marc Gasol,2011,C,1199,94,257,379,187,9,367,0.7159533073929961,0.45646437994722955,0.40641711229946526,0.3333333333333333,0.7384196185286104,0.21434528773978315,0.31609674728940784,0.1559633027522936,0.007506255212677231,0.3060884070058382,0.5896580483736447,2.11,26,255
Marc Gasol,2013,C,1476,95,211,354,493,13,405,0.6587677725118484,0.4293785310734463,0.46247464503042596,0.07692307692307693,0.8345679012345679,0.1429539295392954,0.23983739837398374,0.3340108401084011,0.008807588075880758,0.27439024390243905,0.5813008130081301,2.11,28,255
Marc Gasol,2014,C,1102,66,152,270,395,10,275,0.7368421052631579,0.43333333333333335,0.38734177215189874,0.1,0.7709090909090909,0.13793103448275862,0.24500907441016334,0.3584392014519056,0.009074410163339383,0.24954627949183303,0.5399274047186933,2.11,29,255
Marc Gasol,2015,C,1784,93,290,370,579,17,528,0.6862068965517242,0.46216216216216216,0.39896373056994816,0.17647058823529413,0.8049242424242424,0.1625560538116592,0.20739910313901344,0.3245515695067265,0.00952914798206278,0.29596412556053814,0.5767937219730942,2.11,30,255
Marc Gasol,2016,C,934,52,87,247,353,2,245,0.6091954022988506,0.44534412955465585,0.4192634560906516,1,0.8285714285714286,0.09314775160599571,0.2644539614561028,0.37794432548179874,0.0021413276231263384,0.2623126338329764,0.5524625267665952,2.11,31,255
Marc Gasol,2017,C,1615,81,157,333,487,273,365,0.6496815286624203,0.4924924924924925,0.41478439425051333,0.3956043956043956,0.8465753424657534,0.09721362229102168,0.20619195046439628,0.3015479876160991,0.16904024767801856,0.2260061919504644,0.5479876160990712,2.11,32,255
Marc Gasol,2018,C,1370,73,155,218,355,305,337,0.6709677419354839,0.3623853211009174,0.4140845070422535,0.34098360655737703,0.8338278931750742,0.11313868613138686,0.1591240875912409,0.2591240875912409,0.22262773722627738,0.245985401459854,0.5218978102189781,2.11,33,255
Marc Gasol,2019,C,1349,103,136,262,298,354,299,0.6764705882352942,0.4770992366412214,0.39932885906040266,0.3672316384180791,0.7759197324414716,0.10081541882876205,0.19421793921423278,0.22090437361008153,0.26241660489251295,0.22164566345441067,0.5174203113417346,2.11,34,255
Marc Gasol,2020,C,407,55,47,60,65,171,64,0.6382978723404256,0.5166666666666667,0.36923076923076925,0.34502923976608185,0.734375,0.11547911547911548,0.14742014742014742,0.1597051597051597,0.4201474201474201,0.15724815724815724,0.4692874692874693,2.11,35,255
Marc Gasol,2021,C,261,54,18,27,29,133,54,0.8333333333333334,0.48148148148148145,0.3793103448275862,0.42857142857142855,0.7222222222222222,0.06896551724137931,0.10344827586206896,0.1111111111111111,0.5095785440613027,0.20689655172413793,0.5172413793103449,2.11,36,255
Marcelo Huertas,2016,G,257,51,38,70,60,60,29,0.6052631578947368,0.4714285714285714,0.4,0.26666666666666666,0.9310344827586207,0.14785992217898833,0.2723735408560311,0.23346303501945526,0.23346303501945526,0.11284046692607004,0.4785992217898833,1.91,32,200
Marcelo Huertas,2017,G,85,20,8,20,21,19,17,0.625,0.35,0.42857142857142855,0.21052631578947367,0.5294117647058824,0.09411764705882353,0.23529411764705882,0.24705882352941178,0.2235294117647059,0.2,0.4,1.91,33,200
Marcin Gortat,2010,C-F,339,87,154,59,37,3,86,0.6493506493506493,0.5084745762711864,0.21621621621621623,0,0.686046511627907,0.45427728613569324,0.17404129793510326,0.10914454277286136,0.008849557522123894,0.2536873156342183,0.5811209439528023,2.11,25,240
Marcin Gortat,2011,C-F,796,79,260,197,142,4,193,0.7538461538461538,0.39593908629441626,0.44366197183098594,0.25,0.7253886010362695,0.32663316582914576,0.24748743718592964,0.17839195979899497,0.005025125628140704,0.24246231155778894,0.6005025125628141,2.11,26,240
Marcin Gortat,2013,C-F,692,60,231,173,147,3,138,0.7272727272727273,0.36416184971098264,0.3877551020408163,0,0.6521739130434783,0.3338150289017341,0.25,0.21242774566473988,0.004335260115606936,0.1994219653179191,0.546242774566474,2.11,28,240
Marcin Gortat,2014,C-F,1227,92,359,322,275,1,270,0.7520891364902507,0.40062111801242234,0.4072727272727273,1,0.6814814814814815,0.2925835370823146,0.2624286878565607,0.2241238793806031,8.149959250203749e-4,0.2200488997555012,0.5672371638141809,2.11,29,240
Marcin Gortat,2015,C-F,1060,92,388,259,211,3,199,0.75,0.4247104247104247,0.43601895734597157,0,0.6984924623115578,0.3660377358490566,0.24433962264150944,0.19905660377358492,0.002830188679245283,0.1877358490566038,0.5962264150943396,2.11,30,240
Marcin Gortat,2016,C-F,917,74,286,241,183,1,206,0.6818181818181818,0.49377593360995853,0.40437158469945356,0,0.7038834951456311,0.311886586695747,0.2628135223555071,0.19956379498364232,0.0010905125408942203,0.22464558342420937,0.5812431842966194,2.11,31,240
Marcin Gortat,2017,C-F,944,95,391,249,125,2,177,0.7007672634271099,0.4738955823293173,0.36,0,0.6440677966101694,0.4141949152542373,0.263771186440678,0.13241525423728814,0.00211864406779661,0.1875,0.5836864406779662,2.11,32,240
Marcin Gortat,2018,C-F,763,87,219,230,148,0,166,0.6621004566210046,0.45217391304347826,0.41216216216216217,NA,0.6746987951807228,0.2870249017038008,0.30144167758846657,0.19397116644823068,0,0.21756225425950196,0.5530799475753604,2.11,33,240
Marcin Gortat,2019,C-F,234,46,84,66,36,0,48,0.6547619047619048,0.4696969696969697,0.3611111111111111,NA,0.7291666666666666,0.358974358974359,0.28205128205128205,0.15384615384615385,0,0.20512820512820512,0.5726495726495726,2.11,34,240
